raceno,racetitle,map,name1,name2,name3,name4,name5,time1,time2,time3,time4,time5,new_t3,new_t50,top50_time,totalPlayer,raceStart,url1,url2,url3,url4,url5,raceurl,race_metadata
340,Metal Works,Streambed,13587738523,Bryson Zhou,okcin6,banananananana,elaina zhou,159050,159933,161167,161567,161667,0,3,182233,18007,1750384800000,https://data.ninjakiwi.com/btd6/users/9fbd10dfdfc0aff319458c495b7ae726cb521ab49f108e30,https://data.ninjakiwi.com/btd6/users/9fb8458d8a93acf1491186195621e274cc564eb49916d03a,https://data.ninjakiwi.com/btd6/users/9fbf4582899ff8a64c40864d0c73e071c55119be9e45df3b,https://data.ninjakiwi.com/btd6/users/9fb8148ed793aaa64b468f190c20e77fcc024bbd9d438d39,https://data.ninjakiwi.com/btd6/users/9fbd10d98dc7aff71d408d4c5b25e424c45748bd9d16d03c,https://data.ninjakiwi.com/btd6/races/Metal_Works_mc2gk5lh/leaderboard,https://data.ninjakiwi.com/btd6/races/Metal_Works_mc2gk5lh/metadata
341,Need a hand pardner?,MonkeyMeadow,Player,troll vs china,StarX,AJAYA,isab,120400,120783,121050,121167,121500,1,9,149750,18424,1750989600000,https://data.ninjakiwi.com/btd6/users/9fbf46d9db94f0ac1b11dc4f5672e576ca5719be9619d16a,https://data.ninjakiwi.com/btd6/users/9fb8458d8a93acf1491186195621e274cc564eb49916d03a,https://data.ninjakiwi.com/btd6/users/9fb943dd8ac7fda44a178e425c7be3719a5218bd9c11dc6e,https://data.ninjakiwi.com/btd6/users/9ceb41de8a94f8a61c4b8f4a097be173c9071cea9c10db69,https://data.ninjakiwi.com/btd6/users/9cb71e8a8996fbf11d13864a5621b273c80715bfcd138b69,https://data.ninjakiwi.com/btd6/races/Need_a_hand_pardner_mcdyhaxp/leaderboard,https://data.ninjakiwi.com/btd6/races/Need_a_hand_pardner_mcdyhaxp/metadata
342,Time for some big Fireworks!,SpiceIslands,who has 360kg,skcusillort,Leohgyon,Dawid,tsp,138267,140300,141450,143167,146417,0,9,170167,6796,1751594400000,https://data.ninjakiwi.com/btd6/users/9fb8458d8a93acf1491186195621e274cc564eb49916d03a,https://data.ninjakiwi.com/btd6/users/9ced11d9df93faa44e40864e0d7bb776ce054fea9914d16e,https://data.ninjakiwi.com/btd6/users/9fbf108389c2f0f11b44d94c5d74e771c5001eef9a42dc6e,https://data.ninjakiwi.com/btd6/users/9fbc44d8dd97fbf64c11871e0e27e7249d5215bb9914de31,https://data.ninjakiwi.com/btd6/users/9ced108c8e93faa54b46da4d5626b723cd004eeacd10de3d,https://data.ninjakiwi.com/btd6/races/Time_for_some_big_Fireworks_mcloiz9u/leaderboard,https://data.ninjakiwi.com/btd6/races/Time_for_some_big_Fireworks_mcloiz9u/metadata
343,It's High Noon,SunsetGulch,67mangomustard,SIX SEVENN,ISAB,Dawid,OG_Gamer2012,112783,113267,114550,114617,115233,0,7,153783,29929,1752199200000,https://data.ninjakiwi.com/btd6/users/9fb8458d8a93acf1491186195621e274cc564eb49916d03a,https://data.ninjakiwi.com/btd6/users/9cb8438cd89fafa21a468c4c0d72ee23cc504fb9cf11de69,https://data.ninjakiwi.com/btd6/users/9fbb12deda93f1f01d4a891f5e76e5719e0348e89742df69,https://data.ninjakiwi.com/btd6/users/9fbc44d8dd97fbf64c11871e0e27e7249d5215bb9914de31,https://data.ninjakiwi.com/btd6/users/9ceb41da8c91fff41c46db495c26e770990c1eb8ca108d3b,https://data.ninjakiwi.com/btd6/races/Its_High_Noon_mcu8uhsh/leaderboard,https://data.ninjakiwi.com/btd6/races/Its_High_Noon_mcu8uhsh/metadata
344,Cosy Cove,LuminousCove,360+360=720kg,Myszkaedzio,skcusillort,Dawid,brain dmg :3,135867,135950,136850,137133,137833,0,5,143483,40682,1752804000000,https://data.ninjakiwi.com/btd6/users/9fb8458d8a93acf1491186195621e274cc564eb49916d03a,https://data.ninjakiwi.com/btd6/users/9ce917898bc4aaac10108b4b5626e77ec9564ebd96148e6c,https://data.ninjakiwi.com/btd6/users/9ced11d9df93faa44e40864e0d7bb776ce054fea9914d16e,https://data.ninjakiwi.com/btd6/users/9fbc44d8dd97fbf64c11871e0e27e7249d5215bb9914de31,https://data.ninjakiwi.com/btd6/users/9fbf43d9d796aaac1c41de4e5e7be672cc511aeacc138a39,https://data.ninjakiwi.com/btd6/races/md5qkdar/leaderboard,https://data.ninjakiwi.com/btd6/races/md5qkdar/metadata
345,Target Practice ,FiringRange,Myszkaedzio,ISAB,Leohgyon,Pringleman :),Gumball,125700,125850,125950,127150,127167,0,10,132433,35577,1753408800000,https://data.ninjakiwi.com/btd6/users/9ce917898bc4aaac10108b4b5626e77ec9564ebd96148e6c,https://data.ninjakiwi.com/btd6/users/9fbb12deda93f1f01d4a891f5e76e5719e0348e89742df69,https://data.ninjakiwi.com/btd6/users/9fbf108389c2f0f11b44d94c5d74e771c5001eef9a42dc6e,https://data.ninjakiwi.com/btd6/users/9ce9468ad6c2ffad1c168e1f0e20e521cd0c1bedc813d03d,https://data.ninjakiwi.com/btd6/users/9cbb1ed88a90aba61e47db4c0c73b571ce0d1fb89b17dc3f,https://data.ninjakiwi.com/btd6/races/Target_Practice_mdcyd220/leaderboard,https://data.ninjakiwi.com/btd6/races/Target_Practice_mdcyd220/metadata
346,Bizzare Bazaar,Bazaar,StarX,AJAYA,Leohgyon,skcusillort,DDDBEAR,103983,104633,104883,105167,105467,0,8,115583,18052,1754013600000,https://data.ninjakiwi.com/btd6/users/9fb943dd8ac7fda44a178e425c7be3719a5218bd9c11dc6e,https://data.ninjakiwi.com/btd6/users/9ceb41de8a94f8a61c4b8f4a097be173c9071cea9c10db69,https://data.ninjakiwi.com/btd6/users/9fbf108389c2f0f11b44d94c5d74e771c5001eef9a42dc6e,https://data.ninjakiwi.com/btd6/users/9ced11d9df93faa44e40864e0d7bb776ce054fea9914d16e,https://data.ninjakiwi.com/btd6/users/9fb91f8edf90fff31d138f430d74e024cd521cea9d13da31,https://data.ninjakiwi.com/btd6/races/Bizzare_Bazaar_mdo9nbou/leaderboard,https://data.ninjakiwi.com/btd6/races/Bizzare_Bazaar_mdo9nbou/metadata
347,Heatwave Season,Cracked,skcusillort,Leohgyon,Pringleman :),Dawid,OG_Gamer2012,122933,123950,124300,126567,126850,1,9,134300,31839,1754618400000,https://data.ninjakiwi.com/btd6/users/9ced11d9df93faa44e40864e0d7bb776ce054fea9914d16e,https://data.ninjakiwi.com/btd6/users/9fbf108389c2f0f11b44d94c5d74e771c5001eef9a42dc6e,https://data.ninjakiwi.com/btd6/users/9ce9468ad6c2ffad1c168e1f0e20e521cd0c1bedc813d03d,https://data.ninjakiwi.com/btd6/users/9fbc44d8dd97fbf64c11871e0e27e7249d5215bb9914de31,https://data.ninjakiwi.com/btd6/users/9ceb41da8c91fff41c46db495c26e770990c1eb8ca108d3b,https://data.ninjakiwi.com/btd6/races/Heatwave_Season_me1usy6f/leaderboard,https://data.ninjakiwi.com/btd6/races/Heatwave_Season_me1usy6f/metadata
348,The New Crew,SpringSpring,mfw rng start,skcusillort,wiktor,ZZZhOU,Dawid,145617,146950,148083,158417,158833,0,11,185183,10448,1755223200000,https://data.ninjakiwi.com/btd6/users/9cb8438cd89fafa21a468c4c0d72ee23cc504fb9cf11de69,https://data.ninjakiwi.com/btd6/users/9ced11d9df93faa44e40864e0d7bb776ce054fea9914d16e,https://data.ninjakiwi.com/btd6/users/9ce9468ad6c2ffad1c168e1f0e20e521cd0c1bedc813d03d,https://data.ninjakiwi.com/btd6/users/9fba138b8a94ffa51b4a88190e22b273ca0c4eef9742d831,https://data.ninjakiwi.com/btd6/users/9fbc44d8dd97fbf64c11871e0e27e7249d5215bb9914de31,https://data.ninjakiwi.com/btd6/races/The_New_Crew_meafz0ps/leaderboard,https://data.ninjakiwi.com/btd6/races/The_New_Crew_meafz0ps/metadata
349,A Trio of Trio's,TreeStump,xing er,AJAYA,DDDBEAR,hweioah,Near,158150,158567,161983,162667,168867,1,7,200917,16368,1755828000000,https://data.ninjakiwi.com/btd6/users/9cea118a8b90acf31c4a8649097ae77fc9074ee99743d93e,https://data.ninjakiwi.com/btd6/users/9ceb41de8a94f8a61c4b8f4a097be173c9071cea9c10db69,https://data.ninjakiwi.com/btd6/users/9fb91f8edf90fff31d138f430d74e024cd521cea9d13da31,https://data.ninjakiwi.com/btd6/users/9cee14da8c90f1a2194bd943587be371ce511ebbcd10dc39,https://data.ninjakiwi.com/btd6/users/9fbf4582899ff8a64c40864d0c73e071c55119be9e45df3b,https://data.ninjakiwi.com/btd6/races/meifel0r/leaderboard,https://data.ninjakiwi.com/btd6/races/meifel0r/metadata
